IDKEY,Q11_1,Q9_1
1016_A75ZB21Z223300,엘지만의 차별성을 보여주는데 약간 부족해보임,집중이 절 되는것같다
1053_AXO5LX78221348,내가 필요한 부분이라서,디자인이 예뻐서
1079_AMLMKQRS191530,에너지 절약¸ 환경 보호 기능이 보이지 않음,트렌디함.
1105_AP13N3WN152740,엘지 자체가 워낙 큰 그룹이라 친숙하고 광고 분의기 자체가 차갑고 딱딱하지 않고 따뜻한 분위기라 더 가깝게 느껴지는것 같아요,펫가전인만큼 반려동물이 많이 출연하고 그에 맞는 스토리가 더 인상적인것 같아요. 저도 강아지를 키우는 입장에서 B광고의 멘트들이 더 마음에 와닿고 더 관심이 가는것 같습니다.
1151_B661P42B155448,일상의 한 부분이라서,관심이간다
1163_B7WAQTNQ085045,동물들이 많이 나와서,눈에잘들어옴
1172_BKUJOT23133754,일상의 모습과 비슷한 부분이 많다.,더 친근감있게 다가온다.
1225_BPV1K5BL154107,특별히 와닿지 않음,알아보기쉬움
1242_B9LRM79G175818,내용이 더 인상적임,더 인상적임
1286_BQN4ZNGC123611,애견 가정의 일상을 보는 듯한 자연스러운 내용때문에 브랜드 이미지도 가깝게 느껴짐,애견 가정의 일상을 공감할 수 있는 내용으로 광고에 나오는 가전에 대한 관심을 유발한다
1411_CZ2EMIIA184051,항상 lg하면 친근한 이미지,B에 대한 광고 스토리가 좋아보입니다
1427_CCX1XOOQ084408,일상생활에서 생길법한 일들을 자연스럽게 광고에 녹여내고 전세대를 아우르는 카피와 일상이 맘에 콕 와닿아서입니다.,좀더 다양한 라이프스타일에 가전이 녹아있는것같고 같이성장한다는 카피가 맘에 들어서 입니다. 
1435_CYAH79TJ235214,반려견이 등장함으로 친근함이느껴짐,좀 더 친근감이 느껴진다
1547_CVKCHWJK112805,동물과 함께한다고 느껴져요,동물과 함께 사는 느낌이 확실해요
1553_CIT71VQM120048,펫은 반려동물이다ㅣ,더 세련되 보인다.
155_79I9K2NI112428,반려동물의 건강도 챙겨주는 느낌,반려동물과 숨쉬는 공간이 부각되는 제품이라
1576_CVL9P6O5170053,이유없음,따듯함이느껴짐
162_7H750H79180502,펫이 더 활발해서,더 따뜻해서
165_7QPV1OWH141449,가전은 엘지 라는 개념이 더 강해서 그런 것 같아요ㅎㅎ,반려견과 사람과의 공존이 더 잘 느껴지는 것 같다
1681_DSYPMNN3210514,털 많은 동물을 키울때 그런 가전제품이 필요하다고 생각합니다,더 공감이 많이 갑니다
1704_DF5YMJB3153521,우리 생활에서 필요한 부면들을 광고에 반영해서,시간이 짧으면서 알찬 내용이라 더 효과적임
1753_DE6T0CVF083919,지루한 광고라서 흥미가 떨어짐,둘다 지루한데 비가 그나마 덜 지루하다. 말도 지루하게 느리게 하는것 같다. 
177_78MRG700155125,별로 기억이 안남아서,컨셉이 더 잘 나타남
1803_D2AEKXQ9103759,애완견이나 아이들 등장에 신뢰가 더 간다,각자 상황에 맞게 설정이 잘 된듯하다
1813_DSW7B3PO155411,가전은 엘지,다양한 연령대가 나와서
1833_D1BBS7VU175727,반려동물을 키우는 입장에서 반려동물에게 배려할 수 있는 제품을 시각적으로 볼 수 있어서,광고의 목적과 초점이 반려동물에 대한 것이었다 
1887_D4TP4U6B103538,광고가 너무 따뜻하다,더친근한느낌이들고 따뜻함
189_7FISAVHA175120,개랑 마주보는 장면,시각적으로 밝아보인다
190_7CZOQ6I8152649,특별히 없음,특별히 없음 이쪽이 더 선호하는 영상이였어
2036_ELU7M19X175621,일상생활,더 독특해서
2181_ETAFFGPL080004,펫과 함께 살다가 새로운 가족이 추가되었다 ,더 시선이 끌려서
2187_EZDMLKDJ160033,그저 그렇다,흐름이 더 자연스럽다
2193_E2T5IE3O190325,반려동물이 없어서,트렌디함이 더 보인듯
2228_FYH3M85R205304,반너가전제품이라서,뭔가가 더  마음에  와  닿은 느낌이라서
2272_F64AO3N7152842,삶에 이미 많이 녹아있고 lg없는 삶은 생각할수 없음,펫을 더 소중하게 여긴다는 느낌을 받았음
2284_FFN0R119133111,공감키워드로 친근하게 다가오려 노력한게 느껴짐,공감에 초첨을 맞춰서 타켓층의 관심을 더 받을 수 있을것으로 기대됨
2364_FJY6WRKS160738,애완동물 시장이 확장 되어서인지¸ 실제 동물이 가족같아 친근하게 느껴짐,각 세대별로 펫을 키우는 라이프에 공감이 더 가고¸ 애완동물 키우면 필요할 물건처럼 보임.
237_7CXZFD4S175515,이끌리진않음,분명하게 전하고자 함
2488_FIZ981V9103850,LG니까 더 믿음직스럽게 다가오는 부분이 있는것같음,반려동물과 내가 모두 LG와 함께한다는 느낌이 듬
2528_GKNUSEMJ094136,광고만 봐서는 기업에 대한 친밀감이 높아지지 않았다,더 직관적이고¸ 단어의 알파벳끼리 조합되어 새로운 단어를 만드는것이 좋았다. B광고는 무슨 말이 하고싶은건지 잘 모르겠다
2591_GPNBQHMW103556,일상 생활에 더욱 가까우며 애완동물과의 친밀도,더 깔끔하고 이해하기 쉬우며 고급진 느낌
25_7I2IWT85232848,가족으로 표현한 부분등,더 공감이 간다.
25_7Z95ANS9192646,이미지가좋아짐,내용과 문구가 좋음
2783_HJHU4I2S174122,친근한 느낌을 주는 구성이다,독특해서
2799_H8DDZKWI102730,전반적인 분위기가 평온하다 ,편안하고 부드러운 분위기이다 
2819_HYZ5UILS102929,우리삶에 있어서꼭필요함부분이란점강조하는이유입니다,반려견¸아이  있는집또 공기청정기 강조하는부분이섬세하고 자극을 줘서 선호하는이유입니다
2871_HK7A2OED180813,생활속에 꼭 필요한 가전제품 브랜드여서,내용이 공감이 가서
2928_HW6FFID2214631,큰 특별함은 없음,세련된 느낌(사실 둘다 비슷하게 느껴짐)
2953_HNM0X0VO160909,일상을 그대로 보여줘서,광고가 아주 현명한 것같아
3003_H1BF5Z01225838,일상에 가까운 모습이라,더 끌린다
